Temps;Température
1250;328,2428869
1252;328,2428869
1254;328,2428869
1256;328,2428869
1258;328,0959145
1260;328,0959145
1262;328,0959145
1264;328,0959145
1266;328,0959145
1268;328,0959145
1270;328,0959145
1272;328,0959145
1274;327,9489421
1276;327,9489421
1278;327,9489421
1280;327,9489421
1282;327,9489421
1284;327,9489421
1286;327,8019697
1288;327,8019697
1290;327,8019697
1292;327,8019697
1294;327,8019697
1296;327,8019697
1298;327,6549974
1300;327,6549974
1302;327,6549974
1304;327,6549974
1306;327,6549974
1308;327,6549974
1310;327,508025
1312;327,508025
1314;327,508025
1316;327,508025
1318;327,508025
1320;327,508025
1322;327,3610526
1324;327,3610526
1326;327,3610526
1328;327,3610526
1330;327,3610526
1332;327,3610526
1334;327,2140802
1336;327,2140802
1338;327,2140802
1340;327,2140802
1342;327,0671079
1344;327,0671079
1346;327,0671079
1348;327,0671079
1350;327,0671079
1352;326,9201355
1354;326,9201355
1356;326,9201355
1358;326,9201355
1360;326,9201355
1362;326,7731631
1364;326,7731631
1366;326,7731631
1368;326,7731631
1370;326,6261907
1372;326,6261907
1374;326,6261907
1376;326,6261907
1378;326,6261907
1380;326,4792184
1382;326,4792184
1384;326,4792184
1386;326,4792184
1388;326,332246
1390;326,332246
1392;326,332246
1394;326,332246
1396;326,1852736
1398;326,1852736
1400;326,1852736
1402;326,1852736
1404;326,1852736
1406;326,0383013
1408;326,0383013
1410;326,0383013
1412;326,0383013
1414;325,8913289
1416;325,8913289
1418;325,8913289
1420;325,8913289
1422;325,7443565
1424;325,7443565
1426;325,7443565
1428;325,7443565
1430;325,5973841
1432;325,5973841
1434;325,5973841
1436;325,5973841
1438;325,4504118
1440;325,4504118
1442;325,4504118
1444;325,4504118
1446;325,3034394
1448;325,3034394
1450;325,3034394
1452;325,3034394
1454;325,156467
1456;325,156467
1458;325,156467
1460;325,156467
1462;325,0094946
1464;325,0094946
1466;325,0094946
1468;325,0094946
1470;324,8625223
1472;324,8625223
1474;324,8625223
1476;324,7155499
1478;324,7155499
1480;324,7155499
1482;324,7155499
1484;324,5685775
1486;324,5685775
1488;324,5685775
1490;324,5685775
1492;324,4216051
1494;324,4216051
1496;324,4216051
1498;324,4216051
1500;324,2746328
1502;324,2746328
1504;324,2746328
1506;324,1276604
1508;324,1276604
1510;324,1276604
1512;324,1276604
1514;323,980688
1516;323,980688
1518;323,980688
1520;323,8337157
1522;323,8337157
1524;323,8337157
1526;323,6867433
1528;323,6867433
1530;323,6867433
1532;323,6867433
1534;323,5397709
1536;323,5397709
1538;323,5397709
1540;323,3927985
1542;323,3927985
1544;323,3927985
1546;323,3927985
1548;323,2458262
1550;323,2458262
1552;323,2458262
1554;323,0988538
1556;323,0988538
1558;323,0988538
1560;322,9518814
1562;322,9518814
1564;322,9518814
1566;322,804909
1568;322,804909
1570;322,804909
1572;322,804909
1574;322,6579367
1576;322,6579367
1578;322,6579367
1580;322,5109643
1582;322,5109643
1584;322,5109643
1586;322,3639919
1588;322,3639919
1590;322,3639919
1592;322,2170196
1594;322,2170196
1596;322,2170196
1598;322,0700472
1600;322,0700472
1602;322,0700472
1604;321,9230748
1606;321,9230748
1608;321,9230748
1610;321,7761024
1612;321,7761024
1614;321,7761024
1616;321,6291301
1618;321,6291301
1620;321,6291301
1622;321,6291301
1624;321,4821577
1626;321,4821577
1628;321,4821577
1630;321,3351853
1632;321,3351853
1634;321,1882129
1636;321,1882129
1638;321,1882129
1640;321,1882129
1642;321,0412406
1644;321,0412406
1646;321,0412406
1648;320,8942682
1650;320,8942682
1652;320,8942682
1654;320,7472958
1656;320,7472958
1658;320,7472958
1660;320,6003234
1662;320,6003234
1664;320,4533511
1666;320,4533511
1668;320,4533511
1670;320,3063787
1672;320,3063787
1674;320,3063787
1676;320,3063787
1678;320,1594063
1680;320,1594063
1682;320,012434
1684;320,012434
1686;320,012434
1688;319,8654616
1690;319,8654616
1692;319,8654616
1694;319,7184892
1696;319,7184892
1698;319,5715168
1700;319,5715168
1702;319,5715168
1704;319,4245445
1706;319,4245445
1708;319,2775721
1710;319,2775721
1712;319,2775721
1714;319,1305997
1716;319,1305997
1718;319,1305997
1720;318,9836273
1722;318,9836273
1724;318,836655
